year,test.1,total,data
1999,hip ho,0,0
1999,po,0,0
2000,adult standard,0,0
2000,album roc,0,0
2000,alternative meta,0,0
2000,alternative roc,0,0
2000,atl hip ho,0,0
2000,boy ban,0,0
2000,brill building po,0,0
2000,canadian hip ho,0,0
2000,classic sou,0,0
2000,contemporary countr,827,0
2000,contemporary country,0,0
2000,dance po,1108,0
2000,dance roc,0,0
2000,disc,0,0
2000,hip ho,0,0
2000,po,0,0
2001,adult standard,0,0
2001,album roc,0,0
2001,alternative meta,477,0
2001,alternative roc,0,0
2001,atl hip ho,0,0
2001,boy ban,0,0
2001,brill building po,0,0
2001,canadian hip ho,0,0
2001,classic sou,0,0
2001,contemporary countr,806,0
2001,contemporary country,0,0
2001,dance po,1076,0
2001,dance roc,0,0
2001,disc,0,0
2001,hip ho,0,0
2001,po,0,0
2002,adult standard,0,0
2002,album roc,0,0
2002,alternative meta,560,0
2002,alternative roc,0,0
2002,atl hip ho,0,0
2002,boy ban,0,0
2002,brill building po,0,0
2002,canadian hip ho,0,0
2002,classic sou,0,0
2002,contemporary countr,732,0
2002,contemporary country,0,0
2002,dance po,981,0
2002,dance roc,0,0
2002,disc,0,0
2002,hip ho,0,0
2002,po,0,0
2003,adult standard,0,0
2003,album roc,0,0
2003,alternative meta,586,0
2003,alternative roc,0,0
2003,atl hip ho,0,0
2003,boy ban,0,0
2003,brill building po,0,0
2003,canadian hip ho,0,0
2003,classic sou,0,0
2003,contemporary countr,712,0
2003,contemporary country,0,0
2003,dance po,1151,0
2003,dance roc,0,0
2003,disc,0,0
2003,hip ho,0,0
2003,po,0,0
2004,adult standard,0,0
2004,album roc,0,0
2004,alternative meta,555,0
2004,alternative roc,0,0
2004,atl hip ho,0,0
2004,boy ban,0,0
2004,brill building po,0,0
2004,canadian hip ho,0,0
2004,classic sou,0,0
2004,contemporary countr,790,0
2004,contemporary country,0,0
2004,dance po,819,0
2004,dance roc,0,0
2004,disc,0,0
2004,hip ho,0,0
2004,po,0,0
2005,adult standard,0,0
2005,album roc,0,0
2005,alternative meta,355,0
2005,alternative roc,0,0
2005,atl hip ho,0,0
2005,boy ban,0,0
2005,brill building po,0,0
2005,canadian hip ho,0,0
2005,classic sou,0,0
2005,contemporary countr,884,0
2005,contemporary country,0,0
2005,dance po,1325,0
2005,dance roc,0,0
2005,disc,0,0
2005,hip ho,0,0
2005,po,0,0
2006,adult standard,0,0
2006,album roc,0,0
2006,alternative meta,0,0
2006,alternative roc,0,0
2006,atl hip ho,387,0
2006,boy ban,0,0
2006,brill building po,0,0
2006,canadian hip ho,0,0
2006,classic sou,0,0
2006,contemporary countr,851,0
2006,contemporary country,0,0
2006,dance po,1293,0
2006,dance roc,0,0
2006,disc,0,0
2006,hip ho,0,0
2006,po,0,0
2007,adult standard,0,0
2007,album roc,0,0
2007,alternative meta,442,0
2007,alternative roc,0,0
2007,atl hip ho,0,0
2007,boy ban,0,0
2007,brill building po,0,0
2007,canadian hip ho,0,0
2007,classic sou,0,0
2007,contemporary countr,826,0
2007,contemporary country,0,0
2007,dance po,1545,0
2007,dance roc,0,0
2007,disc,0,0
2007,hip ho,0,0
2007,po,0,0
2008,adult standard,0,0
2008,album roc,0,0
2008,alternative meta,367,0
2008,alternative roc,0,0
2008,atl hip ho,0,0
2008,boy ban,0,0
2008,brill building po,0,0
2008,canadian hip ho,0,0
2008,classic sou,0,0
2008,contemporary countr,846,0
2008,contemporary country,0,0
2008,dance po,1407,0
2008,dance roc,0,0
2008,disc,0,0
2008,hip ho,0,0
2008,po,0,0
2009,adult standard,0,0
2009,album roc,0,0
2009,alternative meta,283,0
2009,alternative roc,0,0
2009,atl hip ho,0,0
2009,boy ban,0,0
2009,brill building po,0,0
2009,canadian hip ho,0,0
2009,classic sou,0,0
2009,contemporary countr,931,0
2009,contemporary country,0,0
2009,dance po,1854,0
2009,dance roc,0,0
2009,disc,0,0
2009,hip ho,0,0
2009,po,0,0
2010,adult standard,0,0
2010,album roc,0,0
2010,alternative meta,0,0
2010,alternative roc,0,0
2010,atl hip ho,373,0
2010,boy ban,0,0
2010,brill building po,0,0
2010,canadian hip ho,0,0
2010,classic sou,0,0
2010,contemporary countr,1018,0
2010,contemporary country,0,0
2010,dance po,1509,0
2010,dance roc,0,0
2010,disc,0,0
2010,hip ho,0,0
2010,po,0,0
2011,adult standard,0,0
2011,album roc,0,0
2011,alternative meta,0,0
2011,alternative roc,0,0
2011,atl hip ho,0,0
2011,boy ban,0,0
2011,brill building po,0,0
2011,canadian hip ho,0,0
2011,classic sou,0,0
2011,contemporary countr,1176,0
2011,contemporary country,0,0
2011,dance po,1777,0
2011,dance roc,0,0
2011,disc,0,0
2011,hip ho,178,0
2011,po,0,0
2012,adult standard,0,0
2012,album roc,0,0
2012,alternative meta,0,0
2012,alternative roc,0,0
2012,atl hip ho,281,0
2012,boy ban,0,0
2012,brill building po,0,0
2012,canadian hip ho,0,0
2012,classic sou,0,0
2012,contemporary countr,1100,0
2012,contemporary country,0,0
2012,dance po,1261,0
2012,dance roc,0,0
2012,disc,0,0
2012,hip ho,0,0
2012,po,0,0
2013,adult standard,0,0
2013,album roc,0,0
2013,alternative meta,0,0
2013,alternative roc,0,0
2013,atl hip ho,244,0
2013,boy ban,0,0
2013,brill building po,0,0
2013,canadian hip ho,0,0
2013,classic sou,0,0
2013,contemporary countr,1104,0
2013,contemporary country,0,0
2013,dance po,1150,0
2013,dance roc,0,0
2013,disc,0,0
2013,hip ho,0,0
2013,po,0,0
2014,adult standard,0,0
2014,album roc,0,0
2014,alternative meta,0,0
2014,alternative roc,0,0
2014,atl hip ho,0,0
2014,boy ban,0,0
2014,brill building po,0,0
2014,canadian hip ho,0,0
2014,classic sou,0,0
2014,contemporary countr,1115,0
2014,contemporary country,0,0
2014,dance po,1327,0
2014,dance roc,0,0
2014,disc,0,0
2014,hip ho,0,0
2014,po,264,0
2015,adult standard,0,0
2015,album roc,0,0
2015,alternative meta,0,0
2015,alternative roc,0,0
2015,atl hip ho,0,0
2015,boy ban,0,0
2015,brill building po,0,0
2015,canadian hip ho,0,0
2015,classic sou,0,0
2015,contemporary countr,1083,0
2015,contemporary country,0,0
2015,dance po,1252,0
2015,dance roc,0,0
2015,disc,0,0
2015,hip ho,0,0
2015,po,418,0
2016,adult standard,0,0
2016,album roc,0,0
2016,alternative meta,0,0
2016,alternative roc,0,0
2016,atl hip ho,0,0
2016,boy ban,0,0
2016,brill building po,0,0
2016,canadian hip ho,328,0
2016,classic sou,0,0
2016,contemporary countr,888,0
2016,contemporary country,0,0
2016,dance po,1098,0
2016,dance roc,0,0
2016,disc,0,0
2016,hip ho,0,0
2016,po,0,0
2017,adult standard,0,0
2017,album roc,0,0
2017,alternative meta,0,0
2017,alternative roc,0,0
2017,atl hip ho,434,0
2017,boy ban,0,0
2017,brill building po,0,0
2017,canadian hip ho,0,0
2017,classic sou,0,0
2017,contemporary countr,824,0
2017,contemporary country,0,0
2017,dance po,915,0
2017,dance roc,0,0
2017,disc,0,0
2017,hip ho,0,0
2017,po,0,0
2018,adult standard,0,0
2018,album roc,0,0
2018,alternative meta,0,0
2018,alternative roc,0,0
2018,atl hip ho,0,0
2018,boy ban,0,0
2018,brill building po,0,0
2018,canadian hip ho,0,0
2018,classic sou,0,0
2018,contemporary countr,672,0
2018,contemporary country,0,0
2018,dance po,698,0
2018,dance roc,0,0
2018,disc,0,0
2018,hip ho,0,0
2018,po,483,0
2019,adult standard,0,0
2019,album roc,0,0
2019,alternative meta,0,0
2019,alternative roc,0,0
2019,atl hip ho,0,0
2019,boy ban,0,0
2019,brill building po,0,0
2019,canadian hip ho,0,0
2019,classic sou,0,0
2019,contemporary countr,1104,0
2019,contemporary country,0,0
2019,dance po,925,0
2019,dance roc,0,0
2019,disc,0,0
2019,hip ho,0,0
2019,po,560,0
2020,adult standard,0,0
2020,album roc,0,0
2020,alternative meta,0,0
2020,alternative roc,0,0
2020,atl hip ho,0,0
2020,boy ban,0,0
2020,brill building po,0,0
2020,canadian hip ho,0,0
2020,classic sou,0,0
2020,contemporary countr,675,0
2020,contemporary country,0,0
2020,dance po,450,0
2020,dance roc,0,0
2020,disc,0,0
2020,hip ho,0,0
2020,po,0,0
2021,adult standard,0,0
2021,album roc,0,0
2021,alternative meta,0,0
2021,alternative roc,0,0
2021,atl hip ho,0,0
2021,boy ban,0,0
2021,brill building po,0,0
2021,canadian hip ho,0,0
2021,classic sou,0,0
2021,contemporary countr,283,0
2021,contemporary country,173,0
2021,dance po,0,0
2021,dance roc,0,0
2021,disc,0,0
2021,hip ho,0,0
2021,po,0,0
